,Date,Tempurature_Median,Weekend,Beer_Consumption
0,2015-01-01,27.3,0,25.461
1,2015-01-02,27.02,0,28.971999999999998
2,2015-01-03,24.82,1,30.814
3,2015-01-04,23.98,1,29.799
4,2015-01-05,23.82,0,28.9
5,2015-01-06,23.78,0,28.218000000000004
6,2015-01-07,24.0,0,29.732
7,2015-01-08,24.9,0,28.397
8,2015-01-09,28.2,0,24.886
9,2015-01-10,26.76,1,37.937
10,2015-01-11,27.62,1,36.254
11,2015-01-12,25.96,0,25.743000000000002
12,2015-01-13,25.52,0,26.99
13,2015-01-14,25.96,0,31.825
14,2015-01-15,25.86,0,25.724
15,2015-01-16,26.5,0,29.938000000000002
16,2015-01-17,28.86,1,37.69
17,2015-01-18,28.26,1,30.524
18,2015-01-19,28.22,0,29.265
19,2015-01-20,27.68,0,35.126999999999995
20,2015-01-21,25.32,0,29.13
21,2015-01-22,21.74,0,25.795
22,2015-01-23,21.04,0,21.784000000000002
23,2015-01-24,23.12,1,28.348000000000003
24,2015-01-25,24.4,1,31.088
25,2015-01-26,22.4,0,21.52
26,2015-01-27,23.6,0,29.971999999999998
27,2015-01-28,25.68,0,22.603
28,2015-01-29,25.0,0,22.695999999999998
29,2015-01-30,22.8,0,26.845
30,2015-01-31,21.64,1,27.03
31,2015-02-01,24.16,1,32.056999999999995
32,2015-02-02,22.48,0,24.096999999999998
33,2015-02-03,23.16,0,31.655
34,2015-02-04,22.12,0,24.738000000000003
35,2015-02-05,20.28,0,19.95
36,2015-02-06,21.06,0,22.820999999999998
37,2015-02-07,21.86,1,28.893
38,2015-02-08,22.76,1,29.926
39,2015-02-09,24.0,0,24.061999999999998
40,2015-02-10,23.92,0,21.136999999999997
41,2015-02-11,25.38,0,26.805
42,2015-02-12,27.66,0,26.389
43,2015-02-13,25.54,0,24.219
44,2015-02-14,24.32,1,30.230999999999998
45,2015-02-15,22.9,1,24.968000000000004
46,2015-02-16,21.6,0,25.343000000000004
47,2015-02-17,22.76,0,17.399
48,2015-02-18,22.22,0,21.392
49,2015-02-19,23.92,0,22.921999999999997
50,2015-02-20,24.72,0,24.566999999999997
51,2015-02-21,25.2,1,30.943
52,2015-02-22,24.44,1,30.825
53,2015-02-23,25.4,0,25.691999999999997
54,2015-02-24,24.3,0,26.959
55,2015-02-25,22.24,0,25.366
56,2015-02-26,24.1,0,22.784000000000002
57,2015-02-27,24.64,0,26.241
58,2015-02-28,22.4,1,26.467
59,2015-03-01,21.26,1,27.475
60,2015-03-02,22.16,0,28.749000000000002
61,2015-03-03,23.16,0,24.146
62,2015-03-04,23.68,0,22.988000000000003
63,2015-03-05,24.42,0,30.3
64,2015-03-06,22.6,0,22.654
65,2015-03-07,21.92,1,29.09
66,2015-03-08,22.2,1,24.619
67,2015-03-09,21.36,0,20.016
68,2015-03-10,23.12,0,23.041999999999998
69,2015-03-11,22.88,0,22.933000000000003
70,2015-03-12,22.26,0,22.409000000000002
71,2015-03-13,22.34,0,21.281
72,2015-03-14,22.88,1,28.844
73,2015-03-15,22.08,1,32.872
74,2015-03-16,21.92,0,20.903000000000002
75,2015-03-17,21.92,0,26.275
76,2015-03-18,21.24,0,20.167
77,2015-03-19,21.78,0,23.628
78,2015-03-20,21.64,0,24.213
79,2015-03-21,20.88,1,28.631
80,2015-03-22,19.7,1,25.855
81,2015-03-23,19.88,0,21.406
82,2015-03-24,20.98,0,21.616999999999997
83,2015-03-25,21.56,0,22.401
84,2015-03-26,22.98,0,27.989
85,2015-03-27,23.32,0,24.974
86,2015-03-28,23.28,1,29.76
87,2015-03-29,22.14,1,26.116
88,2015-03-30,22.5,0,25.85
89,2015-03-31,23.14,0,24.925
90,2015-04-01,22.52,0,21.979
91,2015-04-02,20.92,0,22.116
92,2015-04-03,21.02,0,24.866999999999997
93,2015-04-04,22.36,1,33.45
94,2015-04-05,22.82,1,32.713
95,2015-04-06,21.36,0,22.355999999999998
96,2015-04-07,17.38,0,21.004
97,2015-04-08,18.68,0,23.362
98,2015-04-09,19.4,0,20.298
99,2015-04-10,20.46,0,24.862
100,2015-04-11,21.74,1,30.505
101,2015-04-12,19.92,1,25.07
102,2015-04-13,20.88,0,22.62
103,2015-04-14,21.7,0,22.000999999999998
104,2015-04-15,21.94,0,23.469
105,2015-04-16,21.26,0,21.735
106,2015-04-17,21.42,0,21.593000000000004
107,2015-04-18,23.36,1,33.821999999999996
108,2015-04-19,22.5,1,28.028000000000002
109,2015-04-20,24.0,0,24.304000000000002
110,2015-04-21,22.52,0,31.108
111,2015-04-22,20.06,0,19.113
112,2015-04-23,21.2,0,23.198
113,2015-04-24,22.52,0,24.388
114,2015-04-25,19.18,1,27.42
115,2015-04-26,19.04,1,30.479
116,2015-04-27,19.82,0,21.838
117,2015-04-28,20.26,0,20.811999999999998
118,2015-04-29,18.66,0,19.761
119,2015-04-30,16.22,0,20.452
120,2015-05-01,17.34,0,17.939
121,2015-05-02,19.26,1,25.272
122,2015-05-03,21.04,1,28.049
123,2015-05-04,19.96,0,25.316999999999997
124,2015-05-05,18.14,0,21.826
125,2015-05-06,17.76,0,20.68
126,2015-05-07,17.8,0,19.143
127,2015-05-08,16.14,0,18.146
128,2015-05-09,18.04,1,25.489
129,2015-05-10,16.94,1,23.537
130,2015-05-11,17.86,0,16.956
131,2015-05-12,17.12,0,19.052
132,2015-05-13,16.34,0,17.287
133,2015-05-14,16.72,0,20.3
134,2015-05-15,16.84,0,20.538
135,2015-05-16,17.18,1,23.701999999999998
136,2015-05-17,18.26,1,28.410999999999998
137,2015-05-18,18.6,0,21.073
138,2015-05-19,18.64,0,24.215
139,2015-05-20,18.74,0,19.525
140,2015-05-21,19.46,0,20.785999999999998
141,2015-05-22,20.26,0,20.429000000000002
142,2015-05-23,19.94,1,27.25
143,2015-05-24,21.8,1,31.386999999999997
144,2015-05-25,22.06,0,26.075
145,2015-05-26,21.28,0,22.162
146,2015-05-27,22.94,0,24.258000000000003
147,2015-05-28,18.56,0,24.683000000000003
148,2015-05-29,17.68,0,21.245
149,2015-05-30,17.52,1,25.936999999999998
150,2015-05-31,16.28,1,26.081
151,2015-06-01,16.28,0,16.227999999999998
152,2015-06-02,16.04,0,20.105999999999998
153,2015-06-03,17.94,0,21.055
154,2015-06-04,18.36,0,22.772
155,2015-06-05,18.32,0,25.142
156,2015-06-06,19.66,1,31.129
157,2015-06-07,20.62,1,30.498
158,2015-06-08,20.86,0,26.15
159,2015-06-09,20.32,0,21.326999999999998
160,2015-06-10,20.54,0,22.008000000000003
161,2015-06-11,22.72,0,24.615
162,2015-06-12,18.8,0,22.375
163,2015-06-13,21.1,1,29.607
164,2015-06-14,22.76,1,32.983000000000004
165,2015-06-15,16.02,0,19.119
166,2015-06-16,14.82,0,21.029
167,2015-06-17,19.8,0,23.898000000000003
168,2015-06-18,19.88,0,24.534000000000002
169,2015-06-19,14.66,0,16.748
170,2015-06-20,15.82,1,23.055
171,2015-06-21,17.32,1,28.857
172,2015-06-22,18.54,0,23.022
173,2015-06-23,19.02,0,27.146
174,2015-06-24,14.54,0,17.241
175,2015-06-25,14.72,0,19.463
176,2015-06-26,15.26,0,21.86
177,2015-06-27,15.34,1,24.226999999999997
178,2015-06-28,15.48,1,27.594
179,2015-06-29,17.2,0,24.863000000000003
180,2015-06-30,19.36,0,20.160999999999998
181,2015-07-01,17.78,0,20.824
182,2015-07-02,17.2,0,19.727
183,2015-07-03,17.52,0,14.94
184,2015-07-04,14.94,1,24.631999999999998
185,2015-07-05,12.9,1,21.294
186,2015-07-06,15.78,0,18.448
187,2015-07-07,16.8,0,21.237
188,2015-07-08,17.02,0,19.849
189,2015-07-09,17.54,0,20.74
190,2015-07-10,19.24,0,25.698
191,2015-07-11,17.46,1,26.691
192,2015-07-12,20.32,1,33.298
193,2015-07-13,22.06,0,25.64
194,2015-07-14,23.3,0,23.936999999999998
195,2015-07-15,20.18,0,28.741999999999997
196,2015-07-16,19.88,0,21.748
197,2015-07-17,19.14,0,22.031999999999996
198,2015-07-18,20.2,1,24.826999999999998
199,2015-07-19,19.98,1,32.473
200,2015-07-20,20.56,0,20.62
201,2015-07-21,16.72,0,21.825
202,2015-07-22,14.52,0,14.343
203,2015-07-23,17.02,0,19.029
204,2015-07-24,18.46,0,21.104
205,2015-07-25,15.9,1,20.738000000000003
206,2015-07-26,16.82,1,25.233
207,2015-07-27,16.6,0,18.975
208,2015-07-28,16.46,0,19.64
209,2015-07-29,16.2,0,22.522
210,2015-07-30,16.76,0,24.226999999999997
211,2015-07-31,19.24,0,24.726
212,2015-08-01,19.78,1,32.467
213,2015-08-02,20.1,1,31.663
214,2015-08-03,21.16,0,25.866999999999997
215,2015-08-04,21.04,0,27.724
216,2015-08-05,20.96,0,22.039
217,2015-08-06,21.06,0,26.127
218,2015-08-07,22.08,0,26.58
219,2015-08-08,21.16,1,31.31
220,2015-08-09,19.62,1,33.516999999999996
221,2015-08-10,21.2,0,23.180999999999997
222,2015-08-11,19.6,0,24.183000000000003
223,2015-08-12,20.12,0,24.594
224,2015-08-13,20.42,0,22.61
225,2015-08-14,20.86,0,25.479
226,2015-08-15,21.44,1,29.621
227,2015-08-16,20.56,1,26.272
228,2015-08-17,21.58,0,22.541
229,2015-08-18,21.3,0,23.07
230,2015-08-19,20.74,0,26.021
231,2015-08-20,16.2,0,17.655
232,2015-08-21,16.84,0,23.243000000000002
233,2015-08-22,18.08,1,30.177
234,2015-08-23,20.22,1,27.518
235,2015-08-24,16.98,0,23.21
236,2015-08-25,16.98,0,21.092
237,2015-08-26,18.92,0,23.357
238,2015-08-27,16.1,0,17.887999999999998
239,2015-08-28,16.28,0,22.217
240,2015-08-29,18.46,1,31.680999999999997
241,2015-08-30,22.52,1,31.833000000000002
242,2015-08-31,24.54,0,28.441
243,2015-09-01,21.44,0,22.389
244,2015-09-02,16.1,0,20.680999999999997
245,2015-09-03,19.3,0,24.221999999999998
246,2015-09-04,16.66,0,19.345
247,2015-09-05,16.12,1,21.826999999999998
248,2015-09-06,16.48,1,23.566
249,2015-09-07,18.72,0,20.227
250,2015-09-08,17.08,0,17.075
251,2015-09-09,18.82,0,16.977
252,2015-09-10,18.92,0,21.525
253,2015-09-11,16.88,0,21.454
254,2015-09-12,14.0,1,21.814
255,2015-09-13,14.18,1,21.252
256,2015-09-14,16.46,0,20.464000000000002
257,2015-09-15,21.18,0,30.775
258,2015-09-16,25.24,0,25.343000000000004
259,2015-09-17,27.26,0,33.93
260,2015-09-18,28.06,0,26.311
261,2015-09-19,28.0,1,31.836
262,2015-09-20,23.6,1,34.695
263,2015-09-21,24.72,0,29.829
264,2015-09-22,25.7,0,26.362
265,2015-09-23,26.14,0,32.589
266,2015-09-24,28.3,0,30.345
267,2015-09-25,23.24,0,29.410999999999998
268,2015-09-26,20.58,1,29.636999999999997
269,2015-09-27,22.3,1,32.184
270,2015-09-28,21.22,0,17.730999999999998
271,2015-09-29,21.8,0,24.114
272,2015-09-30,21.52,0,28.034000000000002
273,2015-10-01,20.96,0,22.664
274,2015-10-02,24.74,0,27.488000000000003
275,2015-10-03,20.28,1,24.875999999999998
276,2015-10-04,18.6,1,24.862
277,2015-10-05,17.36,0,24.679000000000002
278,2015-10-06,18.26,0,22.304000000000002
279,2015-10-07,24.5,0,30.329
280,2015-10-08,26.56,0,33.181999999999995
281,2015-10-09,24.52,0,23.849
282,2015-10-10,23.06,1,33.33
283,2015-10-11,22.48,1,34.496
284,2015-10-12,22.76,0,26.249000000000002
285,2015-10-13,21.4,0,26.523000000000003
286,2015-10-14,23.62,0,26.793000000000003
287,2015-10-15,28.12,0,35.861
288,2015-10-16,26.24,0,27.386999999999997
289,2015-10-17,21.22,1,32.666
290,2015-10-18,16.76,1,22.199
291,2015-10-19,19.86,0,24.0
292,2015-10-20,26.3,0,27.871
293,2015-10-21,24.62,0,31.139
294,2015-10-22,19.9,0,23.065
295,2015-10-23,20.5,0,26.594
296,2015-10-24,17.94,1,27.656999999999996
297,2015-10-25,17.64,1,26.594
298,2015-10-26,20.86,0,28.084
299,2015-10-27,22.0,0,27.581999999999997
300,2015-10-28,20.42,0,24.862
301,2015-10-29,20.56,0,22.634
302,2015-10-30,23.86,0,31.649
303,2015-10-31,23.18,1,35.781
304,2015-11-01,20.22,1,24.429000000000002
305,2015-11-02,21.82,0,20.648000000000003
306,2015-11-03,21.86,0,22.741
307,2015-11-04,21.52,0,21.479
308,2015-11-05,21.8,0,23.134
309,2015-11-06,19.76,0,20.575
310,2015-11-07,18.3,1,24.33
